year,sdg,doc_concentration_value
2003,9,0.375
2003,10,0.3333333333333333
2003,11,0.5
2003,12,1.0
2003,13,0.5
2003,14,1.0
2003,15,
2003,16,0.2781065088757397
2003,17,0.5
2004,1,0.20415224913494812
2004,2,0.375
2004,3,0.17355371900826447
2004,4,0.6800000000000002
2004,5,0.5
2004,6,1.0
2004,7,
2004,8,0.1388888888888889
2004,9,0.5
2004,10,0.3877551020408163
2004,11,0.5
2004,12,1.0
2004,13,1.0
2004,14,1.0
2004,15,1.0
2004,16,0.42
2004,17,1.0
2005,1,0.10222222222222223
2005,2,0.28
2005,3,0.18055555555555558
2005,4,0.20661157024793386
2005,5,0.3333333333333333
2005,6,0.5
2005,7,
2005,8,0.1597633136094675
2005,9,0.625
2005,10,0.42857142857142855
2005,11,0.48148148148148145
2005,12,0.375
2005,13,0.52
2005,14,
2005,15,0.3888888888888889
2005,16,0.13580246913580246
2005,17,
2006,1,0.10288065843621397
2006,2,0.28
2006,3,0.25000000000000006
2006,4,0.4545454545454545
2006,5,1.0
2006,6,1.0
2006,7,1.0
2006,8,0.14876033057851237
2006,9,0.3333333333333333
2006,10,0.21875
2006,11,0.3600000000000001
2006,12,1.0
2006,13,1.0
2006,14,
2006,15,0.375
2006,16,0.12000000000000002
2006,17,0.5
2007,1,0.23839999999999997
2007,2,0.16049382716049382
2007,3,0.1836734693877551
2007,4,0.15570934256055363
2007,5,0.26530612244897955
2007,6,1.0
2007,7,
2007,8,0.17169614984391257
2007,9,0.46875
2007,10,0.16000000000000006
2007,11,0.515625
2007,12,1.0
2007,13,0.18367346938775508
2007,14,1.0
2007,15,0.16666666666666669
2007,16,0.20710059171597636
2007,17,0.3333333333333333
2008,1,0.1511111111111111
2008,2,0.18000000000000002
2008,3,0.20497566252028124
2008,4,0.2346938775510204
2008,5,
2008,6,0.2222222222222222
2008,7,0.375
2008,8,0.11243307555026767
2008,9,0.2888888888888889
2008,10,0.13265306122448978
2008,11,0.4082840236686391
2008,12,0.375
2008,13,0.18367346938775508
2008,14,
2008,15,0.20000000000000004
2008,16,0.14285714285714285
2008,17,0.3888888888888889
2009,1,0.24244897959183676
2009,2,0.12426035502958582
2009,3,0.11265432098765432
2009,4,0.25333333333333335
2009,5,0.22448979591836732
2009,6,1.0
2009,7,1.0
2009,8,0.2118055555555556
2009,9,0.38842975206611563
2009,10,0.2653061224489796
2009,11,0.6707818930041151
2009,12,0.2222222222222222
2009,13,0.22000000000000006
2009,14,
2009,15,0.18518518518518517
2009,16,0.12960000000000002
2009,17,0.2777777777777778
2010,1,0.13872452333990798
2010,2,0.2
2010,3,0.1177685950413223
2010,4,0.3677685950413223
2010,5,0.14049586776859505
2010,6,0.5061728395061729
2010,7,0.18367346938775508
2010,8,0.09728395061728398
2010,9,0.09333333333333334
2010,10,0.14049586776859505
2010,11,0.5374149659863946
2010,12,1.0
2010,13,0.10657596371882085
2010,14,0.28
2010,15,0.21875
2010,16,0.10459183673469388
2010,17,0.25
2011,1,0.1952662721893491
2011,2,0.1392
2011,3,0.12811226799456765
2011,4,0.1484375
2011,5,0.12426035502958582
2011,6,0.14
2011,7,0.3600000000000001
2011,8,0.16017777777777775
2011,9,0.14049586776859502
2011,10,0.34593572778827975
2011,11,0.7404081632653061
2011,12,0.16666666666666669
2011,13,0.08220603537981269
2011,14,1.0
2011,15,0.18367346938775508
2011,16,0.15111111111111108
2011,17,0.125
2012,1,0.1876731301939058
2012,2,0.12482853223593962
2012,3,0.16494082840236685
2012,4,0.23232323232323226
2012,5,0.15625
2012,6,0.28
2012,7,0.30612244897959184
2012,8,0.20570749108204517
2012,9,0.10034602076124567
2012,10,0.2048611111111111
2012,11,0.6281932902431517
2012,12,0.2345679012345679
2012,13,0.16319444444444442
2012,14,0.25
2012,15,0.24000000000000007
2012,16,0.08680555555555552
2012,17,0.25
2013,1,0.1470034936844934
2013,2,0.15051903114186854
2013,3,0.09989594172736734
2013,4,0.14128943758573387
2013,5,0.175
2013,6,0.2066115702479339
2013,7,0.3827160493827161
2013,8,0.14938886373924853
2013,9,0.14981070849107622
2013,10,0.1111111111111111
2013,11,0.6351725875535399
2013,12,0.28
2013,13,0.08796296296296297
2013,14,
2013,15,0.11111111111111113
2013,16,0.08171745152354569
2013,17,0.11418685121107267
2014,1,0.17835909631391203
2014,2,0.1168
2014,3,0.14489142043431824
2014,4,0.171875
2014,5,0.09259259259259259
2014,6,0.21799307958477504
2014,7,0.15625
2014,8,0.13692070448827207
2014,9,0.10370678883798419
2014,10,0.1487889273356402
2014,11,0.4464285714285714
2014,12,0.3877551020408163
2014,13,0.10053539559785843
2014,14,1.0
2014,15,0.1124260355029586
2014,16,0.0554733727810651
2014,17,0.11728395061728394
2015,1,0.17275383491599705
2015,2,0.08950617283950617
2015,3,0.13102040816326532
2015,4,0.21541950113378686
2015,5,0.12874999999999998
2015,6,0.12426035502958581
2015,7,0.10743801652892562
2015,8,0.15477639801964127
2015,9,0.10342176086120723
2015,10,0.09250000000000001
2015,11,0.373113854595336
2015,12,0.16666666666666669
2015,13,0.06235827664399094
2015,14,0.5
2015,15,0.15702479338842973
2015,16,0.09289256198347105
2015,17,0.06804733727810651
2016,1,0.08785836966574183
2016,2,0.09339678762641286
2016,3,0.0901712523334145
2016,4,0.1881377551020408
2016,5,0.08641975308641975
2016,6,0.23076923076923078
2016,7,0.20000000000000004
2016,8,0.08039852949011667
2016,9,0.06510416666666666
2016,10,0.1108707409410492
2016,11,0.32990805840995135
2016,12,0.14285714285714285
2016,13,0.05931122448979591
2016,14,0.5555555555555556
2016,15,0.09695290858725761
2016,16,0.05429474288997416
2016,17,0.08264462809917356
2017,1,0.15106899522280526
2017,2,0.09375
2017,3,0.11202760710377915
2017,4,0.12295496711081126
2017,5,0.10650887573964495
2017,6,0.2534722222222222
2017,7,0.18000000000000005
2017,8,0.0921326710463067
2017,9,0.04935259898667667
2017,10,0.10899653979238755
2017,11,0.2212603878116344
2017,12,0.18000000000000002
2017,13,0.07479224376731301
2017,14,1.0
2017,15,0.15555555555555556
2017,16,0.09968399885090493
2017,17,0.09750566893424034
2018,1,0.11701151048654755
2018,2,0.08573625528642831
2018,3,0.09446740128558312
2018,4,0.0881542699724518
2018,5,0.08163265306122448
2018,6,0.16408163265306122
2018,7,0.2
2018,8,0.078989005639174
2018,9,0.09100000000000001
2018,10,0.10291493158834027
2018,11,0.15311909262759923
2018,12,0.15625
2018,13,0.08254200146092039
2018,14,0.3333333333333333
2018,15,0.11989795918367346
2018,16,0.08152531229454303
2018,17,0.05968778696051422
2019,1,0.0901401832563239
2019,2,0.11471074380165289
2019,3,0.07572713774128745
2019,4,0.09448223733938019
2019,5,0.10425240054869682
2019,6,0.13897691263014939
2019,7,0.3827160493827161
2019,8,0.09094693028095734
2019,9,0.08043639053254437
2019,10,0.1503540191586838
2019,11,0.21240997229916894
2019,12,0.16000000000000006
2019,13,0.052116714454376795
2019,14,0.2345679012345679
2019,15,0.0796201607012418
2019,16,0.10648423557406307
2019,17,0.084423305588585
2020,1,0.09614158163265307
2020,2,0.09642372114078765
2020,3,0.07901326655655602
2020,4,0.1427951388888889
2020,5,0.10276143051154367
2020,6,0.13075237399561726
2020,7,0.12426035502958582
2020,8,0.08517445142835635
2020,9,0.10204081632653059
2020,10,0.12053571428571426
2020,11,0.16382060424094572
2020,12,0.09722222222222224
2020,13,0.06298828125
2020,14,0.28925619834710736
2020,15,0.08033240997229914
2020,16,0.14892899308483726
2020,17,0.10330578512396693
2021,1,0.07544378698224853
2021,2,0.06248760166633605
2021,3,0.07846147098811455
2021,4,0.12643678160919544
2021,5,0.09722222222222224
2021,6,0.14631541473834103
2021,7,0.10743801652892562
2021,8,0.09144409234947941
2021,9,0.10594811773954058
2021,10,0.09125000000000001
2021,11,0.13321799307958476
2021,12,0.18367346938775508
2021,13,0.04149519890260629
2021,14,0.6296296296296298
2021,15,0.09530864197530864
2021,16,0.12216553287981859
2021,17,0.11111111111111113
2022,1,0.07026627218934912
2022,2,0.07177734375
2022,3,0.08016616033232066
2022,4,0.12719999999999998
2022,5,0.13201530612244897
2022,6,0.21938775510204078
2022,7,0.14285714285714285
2022,8,0.09082892416225749
2022,9,0.0828132906054984
2022,10,0.13777777777777775
2022,11,0.17257785467128028
2022,12,0.10000000000000003
2022,13,0.07226406024675532
2022,14,0.17159763313609472
2022,15,0.13541666666666669
2022,16,0.08349609375
2022,17,0.11805555555555552
2023,1,0.0968316126735493
2023,2,0.07076923076923079
2023,3,0.056616512345679
2023,4,0.09495699106088719
2023,5,0.09130752373995618
2023,6,0.17107750472589794
2023,7,0.13636363636363635
2023,8,0.10240309141408044
2023,9,0.12396694214876036
2023,10,0.13951789627465305
2023,11,0.1822105460686808
2023,12,0.09090909090909091
2023,13,0.06223230032753842
2023,14,0.2777777777777778
2023,15,0.12482853223593963
2023,16,0.18678459937565034
2023,17,0.10080000000000001
2024,1,0.08087679516250942
2024,2,0.10433884297520662
2024,3,0.08247796159884072
2024,4,0.22727272727272727
2024,5,0.12757201646090532
2024,6,0.3055555555555556
2024,7,0.15306122448979592
2024,8,0.10035712437244448
2024,9,0.10197710718002082
2024,10,0.1730103806228374
2024,11,0.20083102493074792
2024,12,0.25
2024,13,0.07029585798816569
2024,14,
2024,15,0.17346938775510207
2024,16,0.131900826446281
2024,17,0.20710059171597636
