year,sdg,citation_concentration_value
2004,10,1.0
2004,11,1.0
2004,12,
2004,13,
2004,14,
2004,15,
2004,16,0.4074074074074074
2004,17,
2005,1,0.4489795918367348
2005,2,1.0
2005,3,1.0
2005,4,1.0
2005,5,
2005,6,1.0
2005,7,
2005,8,1.0
2005,9,
2005,10,0.510204081632653
2005,11,0.654320987654321
2005,12,
2005,13,1.0
2005,14,
2005,15,1.0
2005,16,0.3333333333333333
2005,17,
2006,1,0.4325
2006,2,
2006,3,
2006,4,1.0
2006,5,
2006,6,1.0
2006,7,1.0
2006,8,0.6203703703703703
2006,9,1.0
2006,10,0.6800000000000002
2006,11,1.0
2006,12,
2006,13,
2006,14,
2006,15,
2006,16,0.46875
2006,17,1.0
2007,1,0.4557823129251701
2007,2,1.0
2007,3,0.375
2007,4,1.0
2007,5,
2007,6,
2007,7,
2007,8,0.5235457063711911
2007,9,
2007,10,0.9081632653061223
2007,11,
2007,12,
2007,13,
2007,14,1.0
2007,15,1.0
2007,16,0.4369160997732426
2007,17,1.0
2008,1,0.5145746579417014
2008,2,0.5918367346938775
2008,3,0.34375
2008,4,0.6435185185185186
2008,5,
2008,6,0.625
2008,7,0.6800000000000002
2008,8,0.34282662869348524
2008,9,1.0
2008,10,0.8755555555555556
2008,11,0.6800000000000002
2008,12,
2008,13,1.0
2008,14,
2008,15,1.0
2008,16,0.44
2008,17,1.0
2009,1,0.47888161808447355
2009,2,0.815
2009,3,0.3600000000000001
2009,4,1.0
2009,5,0.8673469387755102
2009,6,
2009,7,1.0
2009,8,0.3748558246828144
2009,9,1.0
2009,10,1.0
2009,11,
2009,12,
2009,13,0.625
2009,14,
2009,15,0.5740740740740741
2009,16,0.3209876543209877
2009,17,1.0
2010,1,0.3469387755102041
2010,2,0.8024691358024691
2010,3,0.47333333333333333
2010,4,1.0
2010,5,0.5555555555555556
2010,6,
2010,7,1.0
2010,8,0.5
2010,9,1.0
2010,10,0.8097502972651607
2010,11,0.375
2010,12,
2010,13,0.7854671280276816
2010,14,1.0
2010,15,
2010,16,1.0
2010,17,
2011,1,0.37499999999999994
2011,2,0.30246913580246915
2011,3,0.30612244897959184
2011,4,1.0
2011,5,0.5555555555555556
2011,6,1.0
2011,7,1.0
2011,8,0.6112500000000001
2011,9,
2011,10,1.0
2011,11,
2011,12,0.625
2011,13,0.5772569444444444
2011,14,
2011,15,
2011,16,0.7510330578512396
2011,17,0.7012244897959184
2012,1,0.5999108932947202
2012,2,0.729448491155047
2012,3,0.3827160493827161
2012,4,0.30666666666666664
2012,5,1.0
2012,6,1.0
2012,7,1.0
2012,8,0.3232514177693762
2012,9,0.3600000000000001
2012,10,0.7650000000000001
2012,11,1.0
2012,12,
2012,13,0.55078125
2012,14,1.0
2012,15,
2012,16,0.3984375
2012,17,
2013,1,0.45061728395061734
2013,2,0.4921875
2013,3,0.3700000000000001
2013,4,0.27111111111111114
2013,5,1.0
2013,6,1.0
2013,7,1.0
2013,8,0.20416478044363964
2013,9,0.5432525951557095
2013,10,1.0
2013,11,0.6600000000000001
2013,12,1.0
2013,13,0.34067952249770433
2013,14,
2013,15,1.0
2013,16,0.35640138408304495
2013,17,0.7655954631379962
2014,1,0.1710880430603614
2014,2,0.25333333333333335
2014,3,0.17000000000000004
2014,4,0.376953125
2014,5,0.25
2014,6,0.6800000000000002
2014,7,0.5
2014,8,0.1170655567117586
2014,9,0.2627599243856333
2014,10,0.2177777777777778
2014,11,0.2777777777777778
2014,12,1.0
2014,13,0.4934258582907232
2014,14,1.0
2014,15,0.5510204081632654
2014,16,0.1776859504132231
2014,17,0.33333333333333337
2015,1,0.33999999999999997
2015,2,0.17969821673525377
2015,3,0.248852157943067
2015,4,0.30578512396694213
2015,5,0.16244897959183674
2015,6,0.375
2015,7,0.7222222222222223
2015,8,0.14915345337274927
2015,9,0.21683673469387754
2015,10,0.18367346938775508
2015,11,0.3305898491083676
2015,12,1.0
2015,13,0.20280612244897958
2015,14,1.0
2015,15,1.0
2015,16,0.2741020793950851
2015,17,0.5555555555555556
2016,1,0.2418790001207584
2016,2,0.26530612244897955
2016,3,0.20083246618106135
2016,4,0.3600000000000001
2016,5,0.4602076124567474
2016,6,1.0
2016,7,1.0
2016,8,0.17626886145404666
2016,9,0.3703923900118906
2016,10,0.26530612244897955
2016,11,0.34156378600823045
2016,12,0.58
2016,13,0.2530056810675122
2016,14,1.0
2016,15,0.5
2016,16,0.1869806094182825
2016,17,0.34375
2017,1,0.12034472145275467
2017,2,0.3636363636363636
2017,3,0.2519783423573511
2017,4,0.24000000000000005
2017,5,0.2169466764061359
2017,6,0.59375
2017,7,0.5
2017,8,0.09745199855089967
2017,9,0.9414917178984671
2017,10,0.387523629489603
2017,11,0.3579072532699168
2017,12,1.0
2017,13,0.8138248054788627
2017,14,
2017,15,0.6800000000000002
2017,16,0.25
2017,17,0.5537190082644627
2018,1,0.16170903190914007
2018,2,0.7997917000480692
2018,3,0.1258034894398531
2018,4,0.23668639053254442
2018,5,0.3994490358126722
2018,6,1.0
2018,7,
2018,8,0.17455775234131113
2018,9,0.18112244897959182
2018,10,0.625395001436369
2018,11,0.26388888888888884
2018,12,
2018,13,0.19135802469135804
2018,14,1.0
2018,15,0.5
2018,16,1.0
2018,17,0.2711111111111111
2019,1,0.18252080856123665
2019,2,0.2919873245812585
2019,3,0.39202855443188583
2019,4,0.38194444444444453
2019,5,0.12296296296296295
2019,6,0.38
2019,7,1.0
2019,8,0.08159722222222222
2019,9,0.17447916666666669
2019,10,0.40159999999999996
2019,11,0.671875
2019,12,1.0
2019,13,0.13991280221957986
2019,14,1.0
2019,15,0.59375
2019,16,0.15079365079365079
2019,17,0.34072022160664817
2020,1,0.45003883906503783
2020,2,0.9515317786922725
2020,3,0.3881710848741367
2020,4,0.4074074074074075
2020,5,0.22359396433470508
2020,6,0.864795918367347
2020,7,1.0
2020,8,0.26259891711786754
2020,9,0.5702384372306809
2020,10,0.14878892733564014
2020,11,0.256198347107438
2020,12,0.52
2020,13,0.17539026629935722
2020,14,1.0
2020,15,0.3600000000000001
2020,16,0.257396449704142
2020,17,0.375
2021,1,0.1384532179556517
2021,2,0.26080246913580246
2021,3,0.12522045855379188
2021,4,0.19111111111111112
2021,5,0.359375
2021,6,1.0
2021,7,0.7222222222222223
2021,8,0.09529198732458126
2021,9,0.12267994567677681
2021,10,0.2777777777777778
2021,11,0.3531510107015457
2021,12,1.0
2021,13,0.12166089965397923
2021,14,1.0
2021,15,0.625
2021,16,0.3056
2021,17,0.5734072022160663
2022,1,0.1461937716262976
2022,2,0.171875
2022,3,0.1686390532544379
2022,4,0.3061224489795918
2022,5,0.34
2022,6,1.0
2022,7,0.5693039857227842
2022,8,0.0975
2022,9,0.14177693761814744
2022,10,0.505859375
2022,11,0.30578512396694213
2022,12,1.0
2022,13,0.33724444444444446
2022,14,1.0
2022,15,1.0
2022,16,0.5933412604042805
2022,17,0.3888888888888889
2023,1,0.12960000000000002
2023,2,0.30578512396694213
2023,3,0.13
2023,4,0.7551020408163265
2023,5,0.26627218934911245
2023,6,1.0
2023,7,0.26388888888888884
2023,8,0.0800996796012816
2023,9,0.83374058644448
2023,10,0.3534971644612476
2023,11,0.6800000000000002
2023,12,1.0
2023,13,0.18820861678004533
2023,14,1.0
2023,15,0.6296296296296297
2023,16,0.9610457063711911
2023,17,0.9672409796801359
2024,1,0.33333333333333337
2024,2,0.5555555555555556
2024,3,1.0
2024,4,0.3333333333333333
2024,5,
2024,6,
2024,7,0.5
2024,8,0.2835538752362949
2024,9,0.3580246913580247
2024,10,0.44000000000000006
2024,11,0.33333333333333337
2024,12,
2024,13,0.2781065088757397
2024,14,
2024,15,
2024,16,0.28
2024,17,1.0
